ResourceGroup,GroupName,RoleName
cloud-shell-storage-westeurope,ms-cpd-all,Contributor
databricks-rg-db-cpd-datat-dev-we-01-yullqxeth4s34,ms-data-devs,Contributor
databricks-rg-db-cpd-datat-dev-we-01-yullqxeth4s34,ms-architects,Contributor
databricks-rg-db-cpd-datat-dev-we-01-yullqxeth4s34,ms-leads,Contributor
DefaultResourceGroup-WEU,ms-cpd-all,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-01_westeurope,ms-app-devs,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-01_westeurope,ms-architects,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-01_westeurope,ms-leads,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-02_westeurope,ms-architects,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-02_westeurope,ms-leads,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-02_westeurope,ms-app-devs,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-03_westeurope,ms-app-devs,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-03_westeurope,ms-architects,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-03_westeurope,ms-leads,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-04_westeurope,ms-app-devs,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-04_westeurope,ms-architects,Contributor
MC_rg-cpd-apps-sbx-we-01_aks-cpd-apps-sbx-we-04_westeurope,ms-leads,Contributor
NetworkWatcherRG,ms-infra-devs,Contributor
rg-cpd-6d-net-dev-we-01,ms-infra-devs,Contributor
rg-cpd-6d-sec-dev-we-01,ms-infra-devs,Contributor
rg-cpd-apps-sbx-we-01,ms-app-devs,Contributor
rg-cpd-apps-sbx-we-01,ms-architects,Contributor
rg-cpd-apps-sbx-we-01,ms-leads,Contributor
rg-cpd-apps-sbx-we-01,ms-app-testers,Contributor
rg-cpd-bpm-net-dev-we-01,ms-infra-devs,Contributor
rg-cpd-bpm-net-dev-we-01,ms-architects,Contributor
rg-cpd-bpm-net-dev-we-01,ms-leads,Contributor
rg-cpd-bpm-sec-dev-we-01,ms-infra-devs,Contributor
rg-cpd-bpm-sec-dev-we-01,ms-architects,Contributor
rg-cpd-bpm-sec-dev-we-01,ms-leads,Contributor
rg-cpd-data-dev-we-01,ms-data-devs,Contributor
rg-cpd-data-dev-we-01,ms-architects,Contributor
rg-cpd-data-dev-we-01,ms-leads,Contributor
rg-cpd-gis-net-dev-we-01,ms-infra-devs,Contributor
rg-cpd-gis-net-dev-we-01,ms-architects,Contributor
rg-cpd-gis-net-dev-we-01,ms-leads,Contributor
rg-cpd-gis-sec-dev-we-01,ms-infra-devs,Contributor
rg-cpd-gis-sec-dev-we-01,ms-architects,Contributor
rg-cpd-gis-sec-dev-we-01,ms-leads,Contributor
rg-cpd-glob-bvm-we-01,ms-cpd-admins,Contributor
rg-cpd-glob-npd-we-01,ms-cpd-admins,Contributor
rg-cpd-glob-npd-we-01,ms-architects,Contributor
rg-cpd-glob-npd-we-01,ms-leads,Contributor
rg-cpd-itsm-net-dev-we-01,ms-infra-devs,Contributor
rg-cpd-itsm-net-dev-we-01,ms-architects,Contributor
rg-cpd-itsm-net-dev-we-01,ms-leads,Contributor
rg-cpd-itsm-sec-dev-we-01,ms-infra-devs,Contributor
rg-cpd-itsm-sec-dev-we-01,ms-architects,Contributor
rg-cpd-itsm-sec-dev-we-01,ms-leads,Contributor
rg-cpd-pltf-bckup-dev-we-01,ms-infra-devs,Contributor
rg-cpd-pltf-bckup-dev-we-01,ms-architects,Contributor
rg-cpd-pltf-bckup-dev-we-01,ms-leads,Contributor
rg-cpd-pltf-net-dev-we-01,ms-infra-devs,Contributor
rg-cpd-pltf-net-dev-we-01,ms-architects,Contributor
rg-cpd-pltf-net-dev-we-01,ms-leads,Contributor
rg-cpd-pltf-sec-dev-we-01,ms-infra-devs,Contributor
rg-cpd-pltf-sec-dev-we-01,ms-architects,Contributor
rg-cpd-pltf-sec-dev-we-01,ms-leads,Contributor
rg-cpd-sbx-01,ms-app-devs,Contributor
rg-cpd-sbx-01,ms-architects,Contributor
rg-cpd-sbx-01,ms-leads,Contributor
rg-cpd-temp-sandbox,ms-cpd-all,Contributor
rg-cpd-temp-sandbox,ms-cpd-all,Contributor
rg-tasmu-ckan-demo-bek1,ms-app-devs,Contributor
rg-tasmu-ckan-demo-bek1,ms-architects,Contributor
rg-tasmu-ckan-demo-bek1,ms-leads,Contributor
